company_std,year_std,Company_Name,Sector,Industry,Ticker_Symbol,Year,Report_Type,Data_Source,ESG_Score_Composite,ESG_Rating_Grade,ESG_Percentile_Rank,Env_Score_Raw,Social_Score_Raw,Governance_Score_Raw,Data_Completeness_Pct,RI_Rating,RI_Numeric,Sust_Rating,Sust_Numeric,ROA,ROE,Log_Assets,Leverage,Net_Margin,ROA_Pct,ROE_Pct,Net_Income_NGN_m,Revenue_NGN_m,Total_Assets_NGN_m,Total_Equity_NGN_m,Total_Debt_NGN_m,EBITDA_NGN_m,Market_Cap_NGN_m,GHG_Scope1_tCO2e,GHG_Scope2_tCO2e,GHG_Scope3_tCO2e,GHG_Intensity,Energy_Consumed_GJ,Renewable_Energy_Pct,Water_Consumed_m3,Waste_Total_Tonnes,Waste_Recycled_Pct,Total_Employees,Female_Employees_Pct,Female_Board_Pct,Independent_Dir_Pct,Board_Size,Board_Meetings_pa,CEO_Chair_Separation,Anti_Corruption_Policy,GRI_Reporting,IFRS_S1_S2_Aligned,renewable_energy_flag,env_policy_flag,carbon_audit_flag,gri_302_flag,gri_305_flag,financial_inclusion_flag,gender_award_flag,ungc_signatory,nsbp_signatory,human_rights_policy_flag,board_eval_flag,sustainability_assurance,code_of_conduct_flag,anti_corruption_flag,data_privacy_flag,iso_certified
Fidelity Bank,2020,Fidelity Bank Plc,Banking & Finance,Commercial Banking,,2020,Annual Report,FidelityBank_2020.pdf,46.11,B,64.3,14.29,65.88,55.16,68.4,Below Average,2,Medium (20-30),3,0.97,9.74,14.83007,7.165760621,12.92,0.97,9.74,26650,206204,2758148,273533,1960072,34261,,,,,,,,,,,2945,45.4,14.3,14.3,14,16,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0
Fidelity Bank,2021,Fidelity Bank Plc,Banking & Finance,Commercial Banking,,2021,Annual Report,FidelityBank_2021.pdf,48.52,B,71,28.57,66.53,49.97,68.4,Below Average,2,Medium (20-30),3,1.08,11.95,15.00623975,8.373420336,14.19,1.08,11.95,35579,250774,3289479,297769,2493345,45317,,,,,,,,,,,2974,46,21.4,21.4,14,9,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0
Fidelity Bank,2022,Fidelity Bank Plc,Banking & Finance,Commercial Banking,FIDELITYBK,2022,Annual Report,FidelityBank_2022.pdf,54.88,B,78.4,50,65.87,50.3,70.2,Below Average,2,Medium (20-30),3,1.17,14.87,15.19905339,9.040790813,13.86,1.17,14.87,46724,337050,3989009,314360,2842063,64836,90183.46,,,,,,,,9.2,,3038,48,21.43,21.43,14,10,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0
Fidelity Bank,2023,Fidelity Bank Plc,Banking & Finance,Commercial Banking,,2023,Annual Report,FidelityBank_2023.pdf,67.62,A,92.1,57.14,79.6,66.49,64.9,Below Average,2,Medium (20-30),3,1.595,22.74,15.6456391,1.319503232,17.89,1.595,22.74,99454,555830,6234688,437307,577028,132603,,,,,,,,,,,3063,50.2,28.57,21.43,14,11,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1
Fidelity Bank,2024,Fidelity Bank Plc,Banking & Finance,Commercial Banking,FIDELITYBK,2024,Annual Report,FidelityBank_2024.pdf,69.47,A,94.6,65.92,63.42,76.67,71.9,Below Average,2,Medium (20-30),3,3.15,30.97,15.99272935,7.647172098,26.65,3.15,30.97,278106,1043401,8821737,897874,6866197,,,12289.6,3083.24,6708.6,,,,55807086,,,3127,52,28.6,20,15,12,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1
First Bank,2020,FBN Holdings Plc,Banking & Finance,Financial Holding Company,FBNH,2020,Annual Report,FirstBank_2020.pdf,64.25,A,89.2,57.14,59.94,72.82,63.2,Good,4,High (30-40),2,1.17,11.73,15.85530494,0.495946658,15.49,1.17,11.73,89730,579429,7689028,765171,379484,109096,256651.34,,,,,,,,,,8342,31,16.7,25,12,9,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1
First Bank,2021,FBN Holdings Plc,Banking & Finance,Financial Holding Company,,2021,Annual Report,FirstBank_2021.pdf,58.48,B,83,42.86,56.35,71.79,66.7,Good,4,High (30-40),2,1.69,17.17,16.00519265,0.460648106,19.95,1.69,17.17,151079,757296,8932373,879856,405304,195200,409206.34,,,,,,,,,,8142,34.9,10,70,10,11,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1
First Bank,2022,FBN Holdings Plc,Banking & Finance,Commercial Banking,FBNH,2022,Annual Report,FirstBank_2022.pdf,47.28,B,68,14.29,54.75,66.42,66.7,Good,4,High (30-40),2,1.29,13.68,16.17425951,0.678329003,16.92,1.29,13.68,136173,805128,10577710,995741,675440,185712,391258.69,,,,,,,,,,7972,32,9.1,63.6,11,8,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1
First Bank,2023,FBN Holdings Plc,Banking & Finance,Financial Holding Company,,2023,Annual Report,FirstBank_2023.pdf,55.22,B,79.3,28.57,61.21,70.71,66.7,Good,4,High (30-40),2,1.83,17.77,16.64505152,0.715977083,19.45,1.83,17.77,310370,1595255,16937684,1747021,1250827,401404,845334.15,,,,,,,,,,8772,40,9.09,45.45,11,9,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0
First Bank,2024,First HoldCo Plc,Banking & Finance,Commercial Banking,,2024,Annual Report,FirstBank_2024.pdf,55.2,B,78.8,14.29,75.25,70.85,64.9,Good,4,High (30-40),2,2.5,23.7,17.09356876,0.557841389,20.7,2.5,23.7,663490,3212649,26524218,2795334,1559353,857849,1006862.96,,,,,,,,,,9950,29,11.1,33.3,9,11,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0
